Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
26,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.623,0.173,0,2.975
26,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.693,0.162,0,2.975
27,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.416,0.215,0,0.186
27,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.395,0.265,0,0.372
27,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.395,0.263,0,0.744
27,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.395,0.262,0,1.116
27,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.431,0.249,0,1.488
27,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.422,0.252,0,2.232
27,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.385,0.259,0,2.975
27,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.35,0.28,0,2.975
28,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.429,0.229,0,0.186
28,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.4,0.294,0,0.372
28,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.4,0.3,0,0.744
28,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.418,0.289,0,1.116
28,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.459,0.27,0,1.488
28,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.512,0.203,0,2.232
28,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.538,0.169,0,2.975
28,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.577,0.151,0,2.975
29,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.374,0.269,0,0.186
29,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.462,0.372,0,0.372
29,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.368,0.377,0,0.744
29,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.368,0.377,0,1.116
29,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.376,0.369,0,1.488
29,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.296,0.376,0,2.232
29,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.282,0.41,0,2.975
29,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.281,0.427,0,2.975
30,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.577,0.212,0,0.186
30,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.556,0.269,0,0.372
30,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.468,0.303,0,0.744
30,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.461,0.309,0,1.116
30,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.445,0.331,0,1.488
30,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.418,0.326,0,2.232
30,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.414,0.322,0,2.975
30,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.414,0.322,0,2.975
31,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.643,0.142,0,0.186
31,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.646,0.147,0,0.372
31,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.672,0.134,0,0.744
31,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.698,0.115,0,1.116
31,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.7,0.102,0,1.488
31,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.089,0,2.232
31,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.084,0,2.975
31,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.082,0,2.975
32,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.555,0.183,0,0.186
32,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.526,0.228,0,0.372
32,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.512,0.261,0,0.744
32,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.483,0.275,0,1.116
32,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.479,0.285,0,1.488
32,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.479,0.283,0,2.232
32,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.479,0.278,0,2.975
32,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.313,0.345,0,2.975
33,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.568,0.204,0,0.186
33,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.505,0.257,0,0.372
33,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.469,0.263,0,0.744
33,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.467,0.254,0,1.116
33,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.484,0.242,0,1.488
33,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.515,0.256,0,2.232
